objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,version_publishers,version_languages,version_yearpublished,version_nickname
"The Bucket King","3141","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51478863","5.84767","6.34326","1.2316","4219","1472","thing","The Bucket King","2","6","45","45","45","2002","3,4,5,6","5,6","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Burgle Bros.","172081","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","52640489","7.08191","7.41271","2.3121","405","19215","thing","Burgle Bros.","1","4","90","90","45","2015","1,2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Byzanz","38032","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50638205","5.93219","6.62965","1.536","3554","2637","thing","Byzanz","3","6","45","45","45","2008","3,4,5,6","4","8+","No necessary in-game text","","","","","","standalone","","AMIGO","German","2008","German edition"
"Ca$h 'n Guns: Second Edition","155362","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51478729","6.61858","6.81021","1.2487","1039","23458","thing","Ca$h 'n Guns: Second Edition","4","8","30","30","30","2014","4,5,6,7,8","6,7,8","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Café International","214","0","0","0","0","0","0","0","0","0","0","0","3","","","","","","50635337","5.88997","6.21712","1.6422","3861","4635","thing","Café International","2","4","60","60","45","1989","2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","Mattel, Inc.","German","1989","Mattel German second edition with Spiel des Jahres"
"Camel Up","153938","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50635849","6.87952","7.03189","1.5025","635","37072","thing","Camel Up","2","8","30","30","20","2014","3,4,5,6,7","4,5","8+","No necessary in-game text","","","","","","standalone","","Pegasus Spiele","English; German","2014","English/German first edition"
"Campanile","301","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51480640","5.59219","6.1543","1.6765","9576","727","thing","Campanile","2","5","30","30","30","1996","2,3,4,5","4","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Can't Stop","41","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50633106","6.7813","6.93912","1.1425","765","21569","thing","Can't Stop","2","4","30","30","30","2017","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","franjos Spieleverlag","Dutch; English; French; German; Italian; Korean; Polish","2017","franjos multilingual edition 2017"
"Canal Mania","19995","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51480297","5.99184","6.86839","2.8908","3160","1334","thing","Canal Mania","2","5","90","90","90","2006","2,3,4,5","4","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"El Capitán","29972","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51479291","6.05107","6.75906","2.915","2847","2434","thing","El Capitán","2","5","75","75","75","2007","3,4,5","4","12+","No necessary in-game text","","","","","","standalone","","","","",""
"Capitol","1155","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50635284","6.00926","6.79775","2.6407","3051","1957","thing","Capitol","2","4","60","60","60","2001","3,4","4","10+","No necessary in-game text","","","","","","standalone","","Schmidt Spiele","German","2001","First edition with Kritikerpreis SdJ logo"
"Captain Sonar","171131","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","58775754","7.29103","7.50342","2.1939","239","33074","thing","Captain Sonar","2","8","60","60","45","2016","6,7,8","8","12+","No necessary in-game text","","","","","","standalone","","","","",""
"Carcassonne","822","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50632392","7.29601","7.41354","1.8863","236","216308","thing","Carcassonne","2","5","45","45","30","2000","2,3,4,5","2","8+","No necessary in-game text","","","","","","standalone","","Hans im Glück; Rio Grande Games","English","2000","English edition 2000 with River"
"Carcassonne: The Castle","7717","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51480609","6.73878","7.10676","1.9838","829","13358","thing","Carcassonne: The Castle","2","2","45","45","30","2003","2","2","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Cards Against Humanity","50381","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","51649346","5.54779","5.71893","1.1727","13239","55145","thing","Cards Against Humanity","4","30","30","30","30","2009","4,5,6,7,8,9,10","6,7,8","16+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Carpe Diem","245934","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","54879505","7.05162","7.49718","2.5263","436","13547","thing","Carpe Diem","2","4","75","75","45","2018","2,3,4","3","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Carrera de Tortugas","9441","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50637427","6.17482","6.77795","1.0892","2281","3936","thing","Ribbit","2","5","20","20","20","2009","2,3,4,5","3,4","5+","No necessary in-game text","","","","","","standalone","","HomoLudicus","Spanish","2009","Spanish edition 2009"
"Carrom","5072","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51482140","6.23463","7.10285","1.4621","2055","2299","thing","Carrom","2","4","60","60","60","0","2,4","2","6+","No necessary in-game text","","","","","","standalone","","","","",""
"Cartagena: Die Flucht","826","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50632325","6.40391","6.68307","1.5992","1542","9393","thing","Cartagena","2","5","45","45","45","2008","2,3,4,5","3","8+","No necessary in-game text","","","","","","standalone","","Winning Moves Germany","German","2008","Winning Moves German edition 2008"
"Castle City","7","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50637754","6.11604","6.55138","1.7895","2540","7268","thing","Cathedral","2","2","20","20","20","1979","2","2","8+","No necessary in-game text","","","","","","standalone","","Gazebo Games UK Ltd.","English","0","Gazebo Games blue/silver box edition"
"The Castles of Burgundy","84876","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","58776132","8.02525","8.15475","2.9738","15","82363","thing","The Castles of Burgundy","2","4","90","90","30","2011","2,3,4","2","12+","No necessary in-game text","","","","","","standalone","","","","",""
"The Castles of Burgundy: The Card Game","191977","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51481418","6.57786","6.94283","2.5663","1128","13739","thing","The Castles of Burgundy: The Card Game","1","4","60","60","30","2016","1,2,3,4","2","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Castles of Mad King Ludwig","155426","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50635081","7.31327","7.50323","2.6472","224","35294","thing","Castles of Mad King Ludwig","1","4","90","90","90","2015","2,3,4","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","Bézier Games","English","2015","English first edition, second printing"
"Catan Card Game","278","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51479418","6.4857","6.69755","2.4387","1326","26559","thing","Catan Card Game","2","2","120","120","60","1996","2","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Catan Card Game: Expansion Set","2915","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51479420","6.2175","7.10183","2.5074","0","4439","thing","Catan Card Game: Expansion Set","2","2","90","90","90","2002","2","2","","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","",""
"CATAN: Cities & Knights","926","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","53123349","7.1509","7.44915","2.8964","0","47600","thing","CATAN: Cities & Knights","3","4","150","150","90","1998","3,4","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","",""
"CATAN: Seafarers","325","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","53123350","6.90816","7.159","2.3759","0","50690","thing","CATAN: Seafarers","3","4","90","90","90","1997","3,4","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","",""
"Caverna: Cave vs Cave","220520","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","58776385","6.68756","7.08164","2.5692","916","14351","thing","Caverna: Cave vs Cave","1","2","40","40","20","2017","1,2","2","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Cavum","37734","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50633591","5.93609","6.66936","3.5827","3525","2141","thing","Cavum","2","4","120","120","120","2009","2,3,4","3","12+","No necessary in-game text","","","","","","standalone","","Quined White Goblin Games","Dutch; French","2009","Dutch/French first edition"
"Caylus","18602","0","0","0","0","0","0","0","0","0","0","0","1","","","","","","50626098","7.49509","7.70579","3.7915","134","29504","thing","Caylus","2","5","150","150","60","2005","2,3,4,5","3","12+","No necessary in-game text","","","","","","standalone","","","","",""
"Caylus Magna Carta","27364","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","51513917","6.44205","6.8831","2.871","1442","6767","thing","Caylus Magna Carta","2","4","75","75","45","2007","2,3,4","3,4","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Celestia","175117","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50632732","6.66527","6.92259","1.3163","957","16955","thing","Celestia","2","6","30","30","30","2015","3,4,5,6","5,6","6+","No necessary in-game text","","","","","","standalone","","BLAM !","Dutch; English; French","2015","Multilingual edition"
"Cellar des Triplettes","12830","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51480659","5.65869","6.17711","1.8605","7093","1210","thing","Cellar des Triplettes","3","5","45","45","45","2004","3,4,5","4","","No necessary in-game text","","","","","","standalone","","","","",""
"Century: Eastern Wonders","242574","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","58776237","6.71226","7.10317","2.1027","870","15550","thing","Century: Eastern Wonders","2","4","45","45","30","2018","2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Century: Spice Road","209685","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51478671","7.11024","7.29553","1.8009","375","34694","thing","Century: Spice Road","2","5","45","45","30","2017","2,3,4,5","3,4","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Chairs","2922","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","54856402","5.52308","5.64231","1.0308","18024","1862","thing","Chairs","1","99","20","20","20","1999","2,3,4,5,6","4","5+","No necessary in-game text","","","","","","standalone","","","","",""
"China","18100","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50635396","6.48349","6.98335","2.2831","1331","4607","thing","China","3","5","45","45","45","2005","3,4,5","3","10+","No necessary in-game text","","","","","","standalone","","ABACUSSPIELE","English; French; German; Italian","2005","EN/FR/GE/IT edition"
"Chinatown","47","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50632472","7.11083","7.44326","2.2336","372","15019","thing","Chinatown","3","5","60","60","60","2014","4,5","5","10+","No necessary in-game text","","","","","","standalone","","Filosofia Éditions; Z-Man Games","English; French","2014","English/French edition 2014"
"Chronicle","54307","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50637907","6.09855","6.79932","1.9608","2615","3343","thing","Chronicle","3","6","30","30","30","2010","3,4,5","4","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","Kanai Factory; Z-Man Games","English","2010","English first edition"
"Chronicles of Crime","239188","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","58775645","7.16409","7.54441","2.06","332","40775","thing","Chronicles of Crime","1","4","90","90","60","2018","1,2,3","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Cincinnati","21634","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51481652","5.51196","5.89676","1.2857","21372","168","thing","Cincinnati","3","6","45","45","45","2006","4,5,6","5,6","","No necessary in-game text","","","","","","standalone","","","","",""
"Citadels","478","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51480088","6.93143","7.05465","2.0473","572","78235","thing","Citadels","2","8","60","60","20","2000","2,3,4,5,6,7","5","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
